date,prices,market_caps,total_volumes
2020-12-29,0.0237336635859654,0.0,293355440.86368424
2020-12-30,0.0237336635859654,0.0,293355440.86368424
2020-12-31,0.0117052592538326,0.0,71621879.53980541
2021-01-01,0.0136398027351739,0.0,36692869.92456541
2021-01-02,0.0123177734583765,0.0,20194288.641763996
2021-01-03,0.0112991470190112,0.0,13910789.40444756
2021-01-04,0.0099391074793128,0.0,9300301.58146273
2021-01-05,0.0099010332723373,0.0,7150613.480480127
2021-01-06,0.0111111382734583,0.0,8352636.476203851
2021-01-07,0.0105112611190452,0.0,5662519.596346529
2021-01-08,0.0100657039758407,0.0,5686091.7694297405
2021-01-09,0.0095226660766797,0.0,4268069.082983429
2021-01-10,0.0098745863342391,0.0,4047880.710082277
2021-01-11,0.0099199623722245,0.0,4361026.879537816
2021-01-12,0.0081573322374777,0.0,3727182.481575269
2021-01-13,0.0071228051671702,0.0,5396103.48559612
2021-01-14,0.0080284844181926,0.0,5567570.381405192
2021-01-15,0.009427889960306,0.0,7786795.670596095
2021-01-16,0.012915128234041,0.0,29376827.9076328
2021-01-17,0.0158669519669981,0.0,38832093.83988133
2021-01-18,0.0173144555841369,0.0,58754314.032618485
2021-01-19,0.0164023428044028,0.0,17064120.78874332
2021-01-20,0.0167587405692653,0.0,16124906.348895663
2021-01-21,0.0215112287422294,0.0,39882840.51264059
2021-01-22,0.0211995243776056,0.0,38881436.76060879
2021-01-23,0.0214828519313462,0.0,86634670.00531916
2021-01-24,0.0213385216074885,0.0,48411850.85374015
2021-01-25,0.0210516773706717,0.0,31204962.432348125
2021-01-26,0.0202205977961512,0.0,39918343.653626986
2021-01-27,0.0212395203889568,0.0,42564586.03463154
2021-01-28,0.018289948777751,0.0,45013435.63065138
2021-01-29,0.0197430807391259,0.0,46890549.90983327
2021-01-30,0.018349107310878,0.0,45786643.55048454
2021-01-31,0.0202747467429953,0.0,46945189.45872612
2021-02-01,0.0199005979384021,0.0,43154601.618831776
2021-02-02,0.0216771445330916,0.0,45181980.64441003
2021-02-03,0.0257301091737672,0.0,111428343.70016453
2021-02-04,0.0298900378410369,0.0,110271802.84237523
2021-02-05,0.0278245875485331,0.0,92019811.7365058
2021-02-06,0.0300489361681538,0.0,98124076.98899391
2021-02-07,0.0281082689427358,0.0,94787565.26659286
2021-02-08,0.0260686574094227,0.0,88984486.22085252
2021-02-09,0.0305306304683686,0.0,141984545.2690736
2021-02-10,0.0345384457515544,0.0,128120102.2134786
2021-02-11,0.0375497104223161,0.0,175078832.7619449
2021-02-12,0.0430748512511482,0.0,427634033.66661626
2021-02-13,0.046097027681161,0.0,280160062.2342853
2021-02-14,0.0496839800022935,0.0,331013806.59928805
2021-02-15,0.0461376124550707,0.0,283735913.06998855
2021-02-16,0.0396360675343333,0.0,275536207.1767777
2021-02-17,0.0374857063259757,0.0,244342284.43349105
2021-02-18,0.0401467370468911,0.0,191289837.44168
2021-02-19,0.0420113573570617,0.0,166996275.11111903
2021-02-20,0.0368473790973626,0.0,202116171.26367152
2021-02-21,0.0354947050366951,0.0,191041780.42528608
2021-02-22,0.0385762217884303,0.0,145386420.5868164
2021-02-23,0.038314816532823,0.0,311858462.03499746
2021-02-24,0.030298628359158,0.0,173271772.08205017
2021-02-25,0.0331458179947947,0.0,143329595.7842162
2021-02-26,0.0319817896326758,0.0,132298013.80775736
2021-02-27,0.0305029673576451,0.0,88912076.16297509
2021-02-28,0.0317502208831248,0.0,70396253.99836805
2021-03-01,0.0281779539648,0.0,62511053.48529358
2021-03-02,0.0321974217375915,0.0,67610721.6808174
2021-03-03,0.0327792675613425,0.0,113845702.76598711
2021-03-04,0.0378992738323319,164624490.01633918,172594709.44290844
2021-03-05,0.0414131925370525,177321516.06433994,202135551.31307933
2021-03-06,0.0393842909960985,440733320.7544596,119146443.2854212
2021-03-07,0.039015557351789,439841222.3802143,113609128.25681011
2021-03-08,0.0383848061814737,432022722.962966,80811210.48706844
2021-03-09,0.0370854484054625,417614942.6880279,95090073.38668036
2021-03-10,0.0391147069222712,440284353.6576858,131895335.13108753
2021-03-11,0.0356829767941679,403235072.1308816,131875326.09224944
2021-03-12,0.0366834570634115,414203326.8655668,145138308.66681644
2021-03-13,0.0461836449199766,521014113.3909804,527106435.15510166
2021-03-14,0.0489876040115599,558146595.0903562,439934406.0626288
2021-03-15,0.050592254092357,572780581.1208104,217077789.8576061
2021-03-16,0.0410839514633118,463151156.1217475,699397482.1503211
2021-03-17,0.0390000300845055,436295452.6715634,245385314.125904
2021-03-18,0.0397846326558469,449116560.2667555,141380794.4909992
2021-03-19,0.0392251069889341,442393133.7558018,136732946.52455878
2021-03-20,0.0405511305522921,456946887.7457088,143054455.56268638
2021-03-21,0.0411325838484056,464131544.1221879,111911641.50389196
2021-03-22,0.0395149108750449,445820250.9608656,85937148.30812609
2021-03-23,0.0362500476091507,409732956.4540164,103357689.17558332
2021-03-24,0.0374600014306913,420330569.53338194,123418361.91977222
2021-03-25,0.034035891863437,385141747.8643581,95507703.43010284
2021-03-26,0.0330492290804226,372444505.52415055,79182657.44385709
2021-03-27,0.0362818083728455,408596942.5761437,78858263.60590693
2021-03-28,0.0365368914901986,413248286.0449225,81714304.82614921
2021-03-29,0.0394876393670232,444409277.1935697,84991159.39906201
2021-03-30,0.0442225326844239,499592179.162894,209942411.67979047
